index,gold_type,gold_q1,gold_q2,graph_r1_primary,graph_r1_correct,graph_r2_primary,graph_r2_correct,graph_joint,atomr_r1_primary,atomr_r1_correct,atomr_r2_primary,atomr_r2_correct,atomr_joint,deepsieve_r1_primary,deepsieve_r1_correct,deepsieve_r2_primary,deepsieve_r2_correct,deepsieve_joint
0,type_k2d,kg,doc,kg,1,kg,0,0,kg,1,kg,0,0,kg,1,kg,0,0
1,type_k2d,kg,doc,kg,1,table,0,0,kg,1,doc,1,1,doc,0,kg,0,0
2,type_k2d,kg,doc,kg,1,kg,0,0,kg,1,doc,1,1,kg,1,kg,0,0
3,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,kg,1,doc,1,1
4,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,kg,1,kg,0,0
5,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,kg,0,0,kg,1,kg,0,0
6,type_k2d,kg,doc,kg,1,kg,0,0,kg,1,kg,0,0,kg,1,kg,0,0
7,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,kg,1,kg,0,0
8,type_k2d,kg,doc,table,0,kg,0,0,kg,1,kg,0,0,kg,1,kg,0,0
9,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,kg,1,kg,0,0
10,type_k2d,kg,doc,kg,1,kg,0,0,kg,1,kg,0,0,kg,1,kg,0,0
11,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,doc,0,doc,1,0
12,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,kg,1,kg,0,0
13,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,kg,1,doc,1,1
14,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,kg,1,kg,0,0
15,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,table,0,0,kg,1,doc,1,1
16,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,table,0,0,kg,1,kg,0,0
17,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,kg,1,kg,0,0
18,type_k2d,kg,doc,kg,1,table,0,0,kg,1,table,0,0,kg,1,kg,0,0
19,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,kg,1,doc,1,1
20,type_k2d,kg,doc,kg,1,kg,0,0,kg,1,doc,1,1,kg,1,kg,0,0
21,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,table,0,0,kg,1,kg,0,0
22,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,doc,0,doc,1,0
23,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,kg,1,kg,0,0
24,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,kg,0,0,doc,0,kg,0,0
25,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,kg,0,0,kg,1,doc,1,1
26,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,kg,1,kg,0,0
27,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,doc,0,kg,0,0
28,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,table,0,0,kg,1,kg,0,0
29,type_k2d,kg,doc,kg,1,kg,0,0,kg,1,doc,1,1,kg,1,kg,0,0
30,type_k2d,kg,doc,kg,1,doc,1,1,kg,1,doc,1,1,kg,1,doc,1,1
31,type_k2d,kg,doc,kg,1,kg,0,0,kg,1,kg,0,0,kg,1,kg,0,0
