index,gold_type,gold_q1,gold_q2,graph_r1_primary,graph_r1_correct,graph_r2_primary,graph_r2_correct,graph_joint,atomr_r1_primary,atomr_r1_correct,atomr_r2_primary,atomr_r2_correct,atomr_joint,deepsieve_r1_primary,deepsieve_r1_correct,deepsieve_r2_primary,deepsieve_r2_correct,deepsieve_joint
1,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
2,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,doc,0,table,1,0
3,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
4,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,doc,0,0
5,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
6,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,doc,0,0
7,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
8,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
9,type_k2t,kg,table,table,0,table,1,0,kg,1,table,1,1,kg,1,doc,0,0
10,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
11,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
12,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
13,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
14,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
15,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
16,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
17,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,doc,0,0
18,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
19,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
20,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,doc,0,0
21,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
22,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
23,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
24,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,kg,0,0
25,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
26,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
27,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
28,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
29,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
30,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
31,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
32,type_k2t,kg,table,kg,1,table,1,1,kg,1,table,1,1,kg,1,table,1,1
