index,gold_type,gold_q1,gold_q2,graph_r1_primary,graph_r1_correct,graph_r2_primary,graph_r2_correct,graph_joint,atomr_r1_primary,atomr_r1_correct,atomr_r2_primary,atomr_r2_correct,atomr_joint,deepsieve_r1_primary,deepsieve_r1_correct,deepsieve_r2_primary,deepsieve_r2_correct,deepsieve_joint
1,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
2,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
3,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,kg,0,0
4,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
5,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
6,type_t2d,table,doc,kg,0,doc,1,0,kg,0,kg,0,0,kg,0,kg,0,0
7,type_t2d,table,doc,kg,0,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
8,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,kg,0,0
9,type_t2d,table,doc,kg,0,kg,0,0,kg,0,kg,0,0,doc,0,kg,0,0
10,type_t2d,table,doc,table,1,kg,0,0,kg,0,doc,1,0,kg,0,kg,0,0
11,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,kg,0,0
12,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,doc,1,0
13,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
14,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
15,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,kg,0,0
16,type_t2d,table,doc,table,1,kg,0,0,kg,0,doc,1,0,kg,0,kg,0,0
17,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,doc,1,0
18,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
19,type_t2d,table,doc,table,1,doc,1,1,kg,0,kg,0,0,kg,0,kg,0,0
20,type_t2d,table,doc,table,1,kg,0,0,kg,0,table,0,0,kg,0,kg,0,0
21,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,kg,0,0
22,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,kg,0,0
23,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
24,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
25,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,doc,1,0
26,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,doc,1,0
27,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
28,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,doc,1,0
29,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
30,type_t2d,table,doc,table,1,kg,0,0,kg,0,doc,1,0,kg,0,kg,0,0
31,type_t2d,table,doc,table,1,table,0,0,kg,0,doc,1,0,kg,0,doc,1,0
32,type_t2d,table,doc,table,1,doc,1,1,kg,0,kg,0,0,doc,0,kg,0,0
33,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
34,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,doc,1,0
35,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
36,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
37,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,doc,1,0
38,type_t2d,table,doc,kg,0,table,0,0,kg,0,table,0,0,kg,0,table,0,0
39,type_t2d,table,doc,kg,0,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
40,type_t2d,table,doc,kg,0,kg,0,0,kg,0,kg,0,0,kg,0,doc,1,0
41,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
42,type_t2d,table,doc,kg,0,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
43,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,kg,0,0
44,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
45,type_t2d,table,doc,kg,0,kg,0,0,kg,0,doc,1,0,kg,0,kg,0,0
46,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,kg,0,0
47,type_t2d,table,doc,kg,0,doc,1,0,kg,0,kg,0,0,kg,0,kg,0,0
48,type_t2d,table,doc,kg,0,doc,1,0,kg,0,kg,0,0,kg,0,doc,1,0
49,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
50,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
51,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
52,type_t2d,table,doc,kg,0,table,0,0,kg,0,table,0,0,kg,0,kg,0,0
53,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
54,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
55,type_t2d,table,doc,kg,0,doc,1,0,kg,0,kg,0,0,kg,0,doc,1,0
56,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
57,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
58,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
59,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
60,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,kg,0,0
61,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,kg,0,0
62,type_t2d,table,doc,kg,0,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
63,type_t2d,table,doc,kg,0,kg,0,0,kg,0,doc,1,0,kg,0,kg,0,0
64,type_t2d,table,doc,kg,0,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
65,type_t2d,table,doc,kg,0,table,0,0,kg,0,doc,1,0,kg,0,doc,1,0
66,type_t2d,table,doc,kg,0,table,0,0,kg,0,doc,1,0,kg,0,kg,0,0
67,type_t2d,table,doc,kg,0,kg,0,0,kg,0,kg,0,0,kg,0,doc,1,0
68,type_t2d,table,doc,kg,0,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
69,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,kg,0,0
70,type_t2d,table,doc,kg,0,kg,0,0,kg,0,doc,1,0,kg,0,kg,0,0
71,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,doc,0,kg,0,0
72,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,doc,1,0
73,type_t2d,table,doc,table,1,kg,0,0,table,1,kg,0,0,doc,0,kg,0,0
74,type_t2d,table,doc,table,1,kg,0,0,table,1,kg,0,0,table,1,kg,0,0
75,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
76,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,doc,0,kg,0,0
77,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,kg,0,0
78,type_t2d,table,doc,table,1,doc,1,1,table,1,doc,1,1,table,1,doc,1,1
79,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
80,type_t2d,table,doc,table,1,doc,1,1,kg,0,kg,0,0,table,1,kg,0,0
81,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
82,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,doc,0,doc,1,0
83,type_t2d,table,doc,table,1,doc,1,1,table,1,doc,1,1,table,1,kg,0,0
84,type_t2d,table,doc,table,1,kg,0,0,table,1,kg,0,0,table,1,doc,1,1
85,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,kg,0,0
86,type_t2d,table,doc,table,1,kg,0,0,kg,0,doc,1,0,table,1,doc,1,1
87,type_t2d,table,doc,table,1,kg,0,0,table,1,kg,0,0,table,1,doc,1,1
88,type_t2d,table,doc,table,1,kg,0,0,kg,0,doc,1,0,table,1,doc,1,1
89,type_t2d,table,doc,table,1,kg,0,0,table,1,kg,0,0,table,1,kg,0,0
90,type_t2d,table,doc,table,1,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
91,type_t2d,table,doc,table,1,doc,1,1,table,1,kg,0,0,table,1,kg,0,0
92,type_t2d,table,doc,kg,0,doc,1,0,kg,0,doc,1,0,kg,0,kg,0,0
93,type_t2d,table,doc,table,1,doc,1,1,table,1,doc,1,1,table,1,kg,0,0
94,type_t2d,table,doc,table,1,kg,0,0,table,1,kg,0,0,table,1,kg,0,0
95,type_t2d,table,doc,table,1,doc,1,1,kg,0,doc,1,0,kg,0,doc,1,0
96,type_t2d,table,doc,table,1,doc,1,1,table,1,kg,0,0,table,1,kg,0,0
97,type_t2d,table,doc,table,1,doc,1,1,kg,0,kg,0,0,kg,0,doc,1,0
98,type_t2d,table,doc,table,1,kg,0,0,table,1,kg,0,0,table,1,kg,0,0
99,type_t2d,table,doc,table,1,kg,0,0,table,1,kg,0,0,table,1,kg,0,0
100,type_t2d,table,doc,table,1,doc,1,1,kg,0,kg,0,0,kg,0,table,0,0
101,type_t2d,table,doc,table,1,doc,1,1,table,1,doc,1,1,table,1,doc,1,1
102,type_t2d,table,doc,table,1,kg,0,0,kg,0,doc,1,0,kg,0,doc,1,0
103,type_t2d,table,doc,table,1,kg,0,0,table,1,kg,0,0,table,1,kg,0,0
104,type_t2d,table,doc,kg,0,kg,0,0,kg,0,kg,0,0,kg,0,doc,1,0
105,type_t2d,table,doc,kg,0,kg,0,0,kg,0,kg,0,0,kg,0,kg,0,0
106,type_t2d,table,doc,table,1,kg,0,0,table,1,kg,0,0,table,1,kg,0,0
107,type_t2d,table,doc,kg,0,kg,0,0,kg,0,kg,0,0,kg,0,doc,1,0
108,type_t2d,table,doc,table,1,doc,1,1,table,1,table,0,0,table,1,kg,0,0
